nome,lat,lon
AV NS 01 COM AV LO 27,-10.255396,-48.336867
AV NS 01 COM AV LO 27,-10.25517,-48.336771
AV NS 01 COM AV LO 27,-10.255034,-48.336532
AV NS 01 COM AV LO 29,-10.262132,-48.336333
AV NS 01 COM AV LO 29,-10.26199,-48.336089
AV NS 01 COM AV LO 29,-10.261679,-48.335998
AV NS 01 COM AV LO 29,-10.261802,-48.336813
AV NS 01 COM AV LO 29,-10.261686,-48.336816
AV NS 01 COM AV LO 29,-10.261656,-48.336
AV NS 01 COM AV LO 29,-10.261325,-48.336339
AV NS 01 COM AV LO 29,-10.261662,-48.336814
AV NS 01 COM AV LO 29,-10.261468,-48.336725
AV NS 01 COM AV LO 29,-10.261321,-48.3364
AV NS 01 COM AV LO 31,-10.268424,-48.336281
AV NS 01 COM AV LO 31,-10.268288,-48.336042
AV NS 01 COM AV LO 31,-10.267967,-48.335947
AV NS 01 COM AV LO 31,-10.268095,-48.336762
AV NS 01 COM AV LO 31,-10.267974,-48.336764
AV NS 01 COM AV LO 31,-10.267948,-48.335949
AV NS 01 COM AV LO 31,-10.267618,-48.336288
AV NS 01 COM AV LO 31,-10.267955,-48.336763
AV NS 01 COM AV LO 31,-10.26776,-48.336673
AV NS 01 COM AV LO 31,-10.267619,-48.336429
AV NS 01 COM AV LO 33,-10.273388,-48.336241
AV NS 01 COM AV LO 33,-10.273278,-48.336026
AV NS 01 COM AV LO 33,-10.272927,-48.335907
AV NS 01 COM AV LO 33,-10.272927,-48.335907
AV NS 01 COM AV LO 33,-10.272675,-48.336046
AV NS 01 COM AV LO 33,-10.272581,-48.336247
AV NS 02 COM AV JK,-10.184947,-48.33026
AV NS 02 COM AV JK,-10.184804,-48.329948
AV NS 02 COM AV JK,-10.184541,-48.329849
AV NS 02 COM AV JK,-10.184464,-48.329855
AV NS 02 COM AV JK,-10.184134,-48.330194
AV NS 02 COM AV JK,-10.184947,-48.33026
AV NS 02 COM AV JK,-10.184941,-48.330329
AV NS 02 COM AV JK,-10.184135,-48.330336
AV NS 02 COM AV JK,-10.184129,-48.330266
AV NS 02 COM AV LO 01,-10.188798,-48.330228
AV NS 02 COM AV LO 01,-10.188682,-48.329942
AV NS 02 COM AV LO 01,-10.18839,-48.329818
AV NS 02 COM AV LO 01,-10.188469,-48.330635
AV NS 02 COM AV LO 01,-10.188397,-48.330643
AV NS 02 COM AV LO 01,-10.188316,-48.329824
AV NS 02 COM AV LO 01,-10.187985,-48.330163
AV NS 02 COM AV LO 01,-10.188329,-48.330639
AV NS 02 COM AV LO 01,-10.188128,-48.330548
AV NS 02 COM AV LO 01,-10.187987,-48.330304
AV NS 02 COM AV LO 02,-10.181089,-48.330219
AV NS 02 COM AV LO 02,-10.180953,-48.32998
AV NS 02 COM AV LO 02,-10.180692,-48.329881
AV NS 02 COM AV LO 02,-10.180766,-48.330698
AV NS 02 COM AV LO 02,-10.180699,-48.330705
AV NS 02 COM AV LO 02,-10.180611,-48.329887
AV NS 02 COM AV LO 02,-10.180283,-48.330225
AV NS 02 COM AV LO 02,-10.180626,-48.330701
AV NS 02 COM AV LO 02,-10.180399,-48.330586
AV NS 02 COM AV LO 02,-10.180277,-48.330298
AV NS 02 COM AV LO 03,-10.192372,-48.330127
AV NS 02 COM AV LO 03,-10.192257,-48.329908
AV NS 02 COM AV LO 03,-10.191968,-48.329788
AV NS 02 COM AV LO 03,-10.19205,-48.330606
AV NS 02 COM AV LO 03,-10.191974,-48.330614
AV NS 02 COM AV LO 03,-10.191896,-48.329795
AV NS 02 COM AV LO 03,-10.191566,-48.330134
AV NS 02 COM AV LO 03,-10.191909,-48.33061
AV NS 02 COM AV LO 03,-10.191677,-48.33049
AV NS 02 COM AV LO 03,-10.191567,-48.330275
AV NS 02 COM AV LO 04,-10.177515,-48.330321
AV NS 02 COM AV LO 04,-10.177394,-48.330028
AV NS 02 COM AV LO 04,-10.177115,-48.32991
AV NS 02 COM AV LO 04,-10.177186,-48.330727
AV NS 02 COM AV LO 04,-10.177121,-48.330734
AV NS 02 COM AV LO 04,-10.177121,-48.330734
AV NS 02 COM AV LO 04,-10.177046,-48.33073
AV NS 02 COM AV LO 04,-10.177115,-48.32991
AV NS 02 COM AV LO 04,-10.176791,-48.330058
AV NS 02 COM AV LO 04,-10.176702,-48.330254
AV NS 02 COM AV LO 05,-10.198122,-48.330081
AV NS 02 COM AV LO 05,-10.198007,-48.329861
AV NS 02 COM AV LO 05,-10.197714,-48.329742
AV NS 02 COM AV LO 05,-10.1978,-48.33056
AV NS 02 COM AV LO 05,-10.19772,-48.330567
AV NS 02 COM AV LO 05,-10.197646,-48.329748
AV NS 02 COM AV LO 05,-10.197316,-48.330087
AV NS 02 COM AV LO 05,-10.19766,-48.330563
AV NS 02 COM AV LO 05,-10.197458,-48.330472
AV NS 02 COM AV LO 05,-10.19731,-48.330158
AV NS 02 COM AV LO 08,-10.173431,-48.330273
AV NS 02 COM AV LO 08,-10.173389,-48.329956
AV NS 02 COM AV LO 08,-10.173191,-48.329784
